feature,importance
wait_duration,0.162505897
group_amount,0.152485272
group_order_heat,0.150360477
people_amount,0.129682652
unit_group_count,0.088243312
source_1_1,0.068927583
source_1_2,0.054169936
source_2_1,0.037863916
source_2_4,0.036541715
source_1_3,0.024428146
source_2_3,0.017489918
group_price,0.016717659
area_heat,0.012431544
group_site_ave,0.008425957
sub_line_heat,0.008109271
group_days,0.006810377
group_site_sum,0.006672227
order_date_weekend,0.004565061
source_2_2,0.00289491
order_date_weekday_7,0.001560313
begin_date_weekend,0.000993125
order_date_weekday_4,0.000957044
order_date_weekday_6,0.000763536
order_date_weekday_1,0.000688314
order_date_weekday_5,0.000648058
begin_date_weekday_6,0.000628171
order_date_weekday_3,0.000605051
begin_date_weekday_5,0.00059599
order_date_weekday_2,0.000520349
begin_date_weekday_4,0.000441193
begin_date_weekday_1,0.000425236
begin_date_weekday_7,0.000412389
begin_date_weekday_3,0.000357097
goback_n,0.000310136
back_n,0.000276704
go_n,0.000253563
begin_date_weekday_2,0.000237899
